Date : 2023-12-13 02:08:00
Directory : /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin
Total : 115 files,  8437 codes, 78 comments, 400 blanks, all 8915 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/api/useBooking.ts                    | TypeScript         |         50 |          0 |          6 |         56 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/model/index.ts                       | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/model/interface.ts                   | TypeScript         |         69 |          0 |         22 |         91 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/ui/card/index.tsx                    | TypeScript JSX     |          8 |          0 |          3 |         11 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/ui/card/styles.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/ui/details/index.tsx                 | TypeScript JSX     |         11 |          0 |          4 |         15 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/ui/details/styles.scss               | SCSS               |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/ui/index.ts                          | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/hotel/model/interface.ts                     | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/index.ts                                     | TypeScript         |         57 |          0 |          6 |         63 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/index.ts                                | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/interface.ts                            | TypeScript         |          8 |          0 |          4 |         12 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/model/dto/RoomCreateDto.ts              | TypeScript         |         22 |          1 |          4 |         27 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/model/dto/RoomUpdateDto.ts              | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/model/index.ts                          | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/model/interface.ts                      | TypeScript         |         25 |          0 |          5 |         30 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/model/useRoom.ts                        | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/ui/card/index.tsx                       | TypeScript JSX     |          7 |          0 |          2 |          9 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/ui/details/index.tsx                    | TypeScript JSX     |         26 |          0 |          5 |         31 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/api/index.ts                            | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/api/useUser.ts                          | TypeScript         |          8 |          0 |          4 |         12 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/index.ts                                | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/model/interface.ts                      | TypeScript         |         34 |         13 |          4 |         51 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/model/useUserModel.ts                   | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/model/userModel.ts                      | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entry-client.tsx                                      | TypeScript JSX     |         16 |          0 |          2 |         18 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entry-server.tsx                                      | TypeScript JSX     |         16 |          0 |          2 |         18 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/authProvider.ts                     | TypeScript         |          6 |          1 |          3 |         10 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/index.ts                            | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/useAuth.ts                          | TypeScript         |         55 |          0 |          7 |         62 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/useCredentails.ts                   | TypeScript         |         35 |          0 |          7 |         42 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/index.ts                                | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/model/interface.ts                      | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/ui/authProvider/index.tsx               | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/ui/form/index.tsx                       | TypeScript JSX     |          5 |          0 |          1 |          6 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/ui/index.ts                             | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/cookie/api/interface.ts                      | TypeScript         |          3 |          0 |          2 |          5 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/cookie/api/useCookie.ts                      | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/cookie/index.ts                              | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/auth/index.tsx                                  | TypeScript JSX     |          2 |          0 |          0 |          2 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/auth/not_authorized.tsx                         | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/auth/sign_in.tsx                                | TypeScript JSX     |         65 |          0 |          9 |         74 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/booking/create.tsx                              | TypeScript JSX     |         96 |          0 |         13 |        109 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/booking/id.tsx                                  | TypeScript JSX     |         93 |          1 |         17 |        111 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/booking/index.tsx                               | TypeScript JSX     |         95 |          0 |          7 |        102 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/hotel/create.tsx                                | TypeScript JSX     |          7 |          0 |          2 |          9 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/hotel/index.tsx                                 | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/index.tsx                                       | TypeScript JSX     |         11 |          0 |          4 |         15 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/room/index.tsx                                  | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/user/index.tsx                                  | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/button/add-button/index.tsx         | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/api/index.ts                   | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/api/resize.ts                  | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/index.ts                       | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/model/index.ts                 | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/model/interface.ts             | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/ui/index.tsx                   | TypeScript JSX     |         16 |          0 |          4 |         20 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/details/model/interface.ts          | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/details/ui/form.tsx                 | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/details/ui/index.tsx                | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/form/model/interface.ts             | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/form/ui/datetime-input.tsx          | TypeScript JSX     |         34 |          2 |          5 |         41 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/pagination/index.tsx                | TypeScript JSX     |         31 |          0 |          7 |         38 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/model/interface.ts            | TypeScript         |         17 |          0 |          3 |         20 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/header/index.tsx           | TypeScript JSX     |         46 |          0 |          3 |         49 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/index.tsx                  | TypeScript JSX     |         62 |         11 |          5 |         78 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-keys/index.tsx           | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-keys/object-keys.tsx     | TypeScript JSX     |         52 |         21 |          9 |         82 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/index.tsx            | TypeScript JSX     |         66 |          1 |         10 |         77 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/array.ts  | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/date.ts   | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/number.ts | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/object.ts | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/string.ts | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/directus/model/interface.ts                    | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/layout/details-layout/index.tsx        | TypeScript JSX     |         37 |          0 |          2 |         39 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/layout/index.ts                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/layout/main-layout/index.tsx           | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/layout/model/index.ts                  | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/layout/model/interface.ts              | TypeScript         |          5 |          0 |          3 |          8 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/sidebar/ui/index.tsx                   | TypeScript JSX     |         23 |          1 |          5 |         29 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/types/api-types.ts                             | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/universal/ui/index.ts                          | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/universal/ui/pages/create.tsx                  | TypeScript JSX     |         80 |          0 |         14 |         94 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/universal/ui/pages/entity-id.tsx               | TypeScript JSX     |         45 |          0 |          7 |         52 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/capitalize/index.ts                             | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/class-factory/index.ts                          | TypeScript         |         36 |          1 |          5 |         42 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/date-formatter/index.ts                         | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/hooks/useClass/index.ts                         | TypeScript         |         24 |          0 |          9 |         33 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/hooks/useIsSsr/index.ts                         | TypeScript         |          9 |          0 |          5 |         14 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/object-parser/hook.ts                           | TypeScript         |         38 |          0 |          7 |         45 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/object-parser/index.ts                          | TypeScript         |         80 |          0 |         12 |         92 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/object-parser/interface.ts                      | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/utils/object-parser/types.ts                          | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/vite-env.d.ts                                         | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/widget/calendar/model/index.ts                        | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/widget/calendar/model/interface.ts                    | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/widget/chat/model/index.ts                            | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/widget/chat/model/interface.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/tsconfig.json                                             | JSON with Comments |         19 |          8 |          2 |         29 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/tsconfig.node.json                                        | JSON               |         10 |          0 |          1 |         11 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/vite.config.ts                                            | TypeScript         |         10 |          1 |          3 |         14 |
| Total                                                                                                            |                    |      8,437 |         78 |        400 |      8,915 |
